FAMILIES, ORIGINAL NAMES,PLANT HABIT,POLLEN HABIT,PROPOSED NAMES,HABIT,Nb of sp. (g.) in tropical Africa,SAME TYPES,REMARKS,REVISED NOMENCLATURE 2019
EUPHORBIACEAE,Bridelia scleroneura-type,ST,A,Bridelia-type scleroneura,shrub or tree 1.5-10 m tall,,"some Cleistanthus(ST), Savia fadenii (ST); B. taitensis (ST), B. cathartica  (ST)",,Bridelia-type scleroneura
EUPHORBIACEAE,Bridelia-type scleroneura,ST,A,Bridelia-type scleroneura,shrub or tree 1.5-10 m tall,,"some Cleistanthus(ST), Savia fadenii (ST); B. taitensis (ST), B. cathartica  (ST)",,Bridelia-type scleroneura
EUPHORBIACEAE,Cleistanthus-type,ST,A,Cleistanthus-type,shrubs or trees,,"Savia fadenii (ST), Bridelia scleroneura (ST)",,Cleistanthus-type
EUPHORBIACEAE,Cleistanthus polystachyus,ST,A,Cleistanthus-type polystachyus,straggly shrub or small to medium evergreen tree 3.5-18 m high,,,,Cleistanthus-type polystachyus
EUPHORBIACEAE,Cleistanthus-type polystachyus,ST,A,Cleistanthus-type polystachyus,straggly shrub or small to medium evergreen tree 3.5-18 m high,,,,Cleistanthus-type polystachyus
EUPHORBIACEAE,Croton macrostachys,T,A,Croton-type macrostachyus,deciduous tree 10-15 m high,,,mis-spelling,Croton-type macrostachyus
EUPHORBIACEAE,Cyttaranthus cf,S,A,Cyttaranthus congolensis,shrub 1-2.5 m high,,,,Cyttaranthus congolensis
EUPHORBIACEAE,Cyttaranthus cf.,S,A,Cyttaranthus congolensis,shrub 1-2.5 m high,,,,Cyttaranthus congolensis
EUPHORBIACEAE,Cyttaranthus-type congolensis,S,A,Cyttaranthus congolensis,shrub 1-2.5 m high,,,,Cyttaranthus congolensis
EUPHORBIACEAE,Dichostemma,T,A,Dichostemma-type glaucescens,tree 12 m high,,Anthostema senegalense (T),,Dichostemma-type glaucescens
EUPHORBIACEAE,Dichostemma glaucescens,T,A,Dichostemma-type glaucescens,tree 12 m high,,Anthostema senegalense (T),,Dichostemma-type glaucescens
EUPHORBIACEAE,Discoglypremna caloneura,T,A,Discoglypremna caloneura,large tree up to 45 m tall,,,,Discoglypremna caloneura
EUPHORBIACEAE,Discoglypremna type,T,A,Discoglypremna caloneura,large tree up to 45 m tall,,,,Discoglypremna caloneura
EUPHORBIACEAE,Drypetes sp.,ST,A,Drypetes-type,trees or shrubs,,"Shirakia elliptica (ST), Spirostachys africana (ST), Spirostachys venenifera (ST), Excoecaria bussei (ST), Excoecaria grahamii (ST)",,Drypetes-type
EUPHORBIACEAE,Drypetes-type,ST,A,Drypetes-type,trees or shrubs,,"Shirakia elliptica (ST), Spirostachys africana (ST), Spirostachys venenifera (ST), Excoecaria bussei (ST), Excoecaria grahamii (ST)",,Drypetes-type
EUPHORBIACEAE,T. Drypetes,ST,A,Drypetes-type,trees or shrubs,,"Shirakia elliptica (ST), Spirostachys africana (ST), Spirostachys venenifera (ST), Excoecaria bussei (ST), Excoecaria grahamii (ST)",,Drypetes-type
EUPHORBIACEAE,Drypetes afzelii,T,A,Drypetes-type afzelii,tree to 25 m high,,,,Drypetes-type afzelii
EUPHORBIACEAE,type Drypetes caustica,T,A,Drypetes-type caustica,tree,,,sp. not in Lebrun & Stork (Mascarene/Reunion),Drypetes-type caustica
EUPHORBIACEAE,Drypetes-type floribunda,T,A,Drypetes-type floribunda,tree to 10 m high,,,,Drypetes-type floribunda
EUPHORBIACEAE,Drypetes gilgiana,T,A,Drypetes-type gilgiana,small tree to 9 m high,,,,Drypetes-type gilgiana
EUPHORBIACEAE,Drypetes (type gossweileri),T,A,Drypetes-type gossweileri,tree to 38 m high,,,,Drypetes-type gossweileri
EUPHORBIACEAE,Drypetes (type lacimata),T,A,Drypetes-type laciniata,small tree 4-10 m tall,,,mis-spelling ,Drypetes-type laciniata
EUPHORBIACEAE,Drypetes molundiana-type,T,A,Drypetes-type molunduana,small tree to 4 m high,,,mis-spelling,Drypetes-type molunduana
EUPHORBIACEAE,Drypetes molunduana,T,A,Drypetes-type molunduana,small tree to 4 m high,,,,Drypetes-type molunduana
EUPHORBIACEAE,Elaeophorbia-type,T,A,Elaeophorbia-type,trees,,"Euphorbia hirta (H, introduced), Euphorbia indica (H, introduced), Euphorbia inaequilatera (H)",,Elaeophorbia-type
EUPHORBIACEAE,Elaeophorbia drupifera type,T,A,Elaeophorbia-type drupifera,tree,,,,Elaeophorbia-type drupifera
EUPHORBIACEAE,Elaeophorbia-type drupifera,T,A,Elaeophorbia-type drupifera,tree,,,,Elaeophorbia-type drupifera
EUPHORBIACEAE,Erythrococca sim.,ST,A,Erythrococca-type,shrubs or small trees,,some Micrococca (HS(T)),,Erythrococca-type
EUPHORBIACEAE,Erythrococca-type,ST,A,Erythrococca-type,shrubs or small trees,,some Micrococca (HS(T)),,Erythrococca-type
EUPHORBIACEAE,Erythrococca africana,ST,A,Erythrococca-type africana,shrub or small tree,,E. trichogyne (S),,Erythrococca-type africana
EUPHORBIACEAE,Euphorbia-type abyssinica,T,A,Euphorbia-type abyssinica,tree to 30 m high,,,,Euphorbia-type abyssinica
EUPHORBIACEAE,Euphorbia pulcherima-type,S,A,Euphorbia-type pulcherrima,shrub 4 m high,,,mis-spelling; introduced as ornamental plant,Euphorbia-type pulcherrima
EUPHORBIACEAE,Euphorbia-type tirucalli,ST,A,Euphorbia-type tirucalli,succulent shrub to 4m or tree to 12 m,,,,Euphorbia-type tirucalli
EUPHORBIACEAE,Excoecari-type,ST,A,Excoecaria-type,"trees, shrubs or subshrubs",,"Drypetes natalensis (ST), Shirakia elliptica (ST), Spirostachys africana (ST), Spirostachys venenifera (ST)",mis-spelling; Madagascar: 7 sp. ,Excoecaria-type
EUPHORBIACEAE,Flueggea,ST,A,Flueggea,trees or shrubs,,,,Flueggea
EUPHORBIACEAE,Flueggea-type,ST,A,Flueggea,trees or shrubs,,,,Flueggea
EUPHORBIACEAE,Scrunega type,ST,A,Flueggea,trees or shrubs,,,syn. Flueggea & Andrachne,Flueggea
EUPHORBIACEAE,Securinega,ST,A,Flueggea,trees or shrubs,,,syn. Flueggea & Andrachne; Madagascar: 1 sp. ,Flueggea
EUPHORBIACEAE,Securinega-type,ST,A,Flueggea,trees or shrubs,,,syn. Flueggea & Andrachne,Flueggea
EUPHORBIACEAE,Flueggea virosa,ST,A,Flueggea virosa-type,"deciduous shrub or small tree up to 6 m, more commonly 2-3 m",,,difference with F. leucopyrus ? Ethiopia,Flueggea virosa-type
EUPHORBIACEAE,Flueggea-type virosa,ST,A,Flueggea virosa-type,"deciduous shrub or small tree up to 6 m, more commonly 2-3 m",,,,Flueggea virosa-type
EUPHORBIACEAE,Securinega virosa,ST,A,Flueggea virosa-type,"deciduous shrub or small tree up to 6 m, more commonly 2-3 m",,,,Flueggea virosa-type
EUPHORBIACEAE,Securinega-type virosa,ST,A,Flueggea virosa-type,"deciduous shrub or small tree up to 6 m, more commonly 2-3 m",,,,Flueggea virosa-type
EUPHORBIACEAE,Hura,T,A,Hura crepitans,"much-branched tree up to 24 m high, but more often 6-12 m high",,,"introduced, cultivated",Hura crepitans
EUPHORBIACEAE,Hura crepitans,T,A,Hura crepitans,"much-branched tree up to 24 m high, but more often 6-12 m high",,,"introduced, cultivated",Hura crepitans
EUPHORBIACEAE,Hymenocardia acida,ST,A,Hymenocardia acida-type,shrub or small tree up to 10 m high,,H. ulmoides (T(SL)),,Hymenocardia acida-type
EUPHORBIACEAE,Hymenocardia acida-type,ST,A,Hymenocardia acida-type,shrub or small tree up to 10 m high,,H. ulmoides (T(SL)),,Hymenocardia acida-type
EUPHORBIACEAE,Euphorbiaceae Jatropha villosa,S,A,Jatropha-type pelargoniifolia,shrub,,,syn.,Jatropha-type pelargoniifolia
EUPHORBIACEAE,Klaineanthus gaboniae,T,A,Klaineanthus gaboniae,tree 9-28 m high,,,,Klaineanthus gaboniae
EUPHORBIACEAE,Klaineanthus gaboniae-type,T,A,Klaineanthus gaboniae,tree 9-28 m high,,,,Klaineanthus gaboniae
EUPHORBIACEAE,Klaineanthus type,T,A,Klaineanthus gaboniae,tree 9-28 m high,,,,Klaineanthus gaboniae
EUPHORBIACEAE,cf. Macaranga(?),ST,A,Macaranga-type,tres or shrubs,,"Mareya brevipes (S), Mareya micrantha (ST), Mallotus oppositifolius (ST)",,Macaranga-type
EUPHORBIACEAE,Macaranga,ST,A,Macaranga-type,tres or shrubs,,"Mareya brevipes (S), Mareya micrantha (ST), Mallotus oppositifolius (ST)",,Macaranga-type
EUPHORBIACEAE,Macaranga (cf),ST,A,Macaranga-type,tres or shrubs,,"Mareya brevipes (S), Mareya micrantha (ST), Mallotus oppositifolius (ST)",,Macaranga-type
EUPHORBIACEAE,Macaranga sim.,ST,A,Macaranga-type,tres or shrubs,,"Mareya brevipes (S), Mareya micrantha (ST), Mallotus oppositifolius (ST)",,Macaranga-type
EUPHORBIACEAE,Macaranga t.,ST,A,Macaranga-type,tres or shrubs,,"Mareya brevipes (S), Mareya micrantha (ST), Mallotus oppositifolius (ST)",,Macaranga-type
EUPHORBIACEAE,Macaranga type,ST,A,Macaranga-type,tres or shrubs,,"Mareya brevipes (S), Mareya micrantha (ST), Mallotus oppositifolius (ST)",,Macaranga-type
EUPHORBIACEAE,Macaranga-type,ST,A,Macaranga-type,tres or shrubs,,"Mareya brevipes (S), Mareya micrantha (ST), Mallotus oppositifolius (ST)",,Macaranga-type
EUPHORBIACEAE,T. Macaranga,ST,A,Macaranga-type,tres or shrubs,,"Mareya brevipes (S), Mareya micrantha (ST), Mallotus oppositifolius (ST)",,Macaranga-type
EUPHORBIACEAE,Macaranga lancifolia-type,T,A,Macaranga-type barteri,tall evergreen tree 15-37 m tall,,,syn. M. barteri,Macaranga-type barteri
EUPHORBIACEAE,Macaranga beillei,ST,A,Macaranga-type beillei,shrub or small tree 3-4.5 m high,,,,Macaranga-type beillei
EUPHORBIACEAE,Macaranga capensis,T,A,Macaranga-type capensis,"small to medium tree 3.5-20 m, or large tree up to 30 m tall",,,,Macaranga-type capensis
EUPHORBIACEAE,Macaranga kilimandscharica,T,A,Macaranga-type capensis,"small to medium tree 3.5-20 m, or large tree up to 30 m tall",,,syn. M. capensis,Macaranga-type capensis
EUPHORBIACEAE,Macaranga type kilimandscharica,T,A,Macaranga-type capensis,"small to medium tree 3.5-20 m, or large tree up to 30 m tall",,,syn. M. capensis,Macaranga-type capensis
EUPHORBIACEAE,Macaranga hurifolia,ST,A,Macaranga-type hurifolia,shrub or tree  to 12 m high,,,,Macaranga-type hurifolia
EUPHORBIACEAE,Macaranga monandra,T,A,Macaranga-type monandra,"small to large evergreen tree 6-25 m, often with a spiny trunk",,,,Macaranga-type monandra
EUPHORBIACEAE,Macaranga spinosa,ST,A,Macaranga-type spinosa,"shrub or small tree 5-10 m, or large tree to 18 m, with a spiny trunk",,,,Macaranga-type spinosa
EUPHORBIACEAE,Mallotus,ST,A,Mallotus-type,trees and shrubs,,"some Macaranga (ST), Mareya brevipes (S), Mareya micrantha (ST)",Madagascar: 4 sp. ,Mallotus-type
EUPHORBIACEAE,Mallotus comp.,ST,A,Mallotus-type,trees and shrubs,,"some Macaranga (ST), Mareya brevipes (S), Mareya micrantha (ST)",,Mallotus-type
EUPHORBIACEAE,Mallotus type,ST,A,Mallotus-type,trees and shrubs,,"some Macaranga (ST), Mareya brevipes (S), Mareya micrantha (ST)",,Mallotus-type
EUPHORBIACEAE,Mallotus-type,ST,A,Mallotus-type,trees and shrubs,,"some Macaranga (ST), Mareya brevipes (S), Mareya micrantha (ST)",,Mallotus-type
EUPHORBIACEAE,Mallotus oppositifolius,ST,A,Mallotus-type oppositifolius,"evergreen shrub or small tree up to 10 m tall, more commonly not exceeding 5 m",,"some Macaranga (ST), Mareya brevipes (S), Mareya micrantha (ST)",difference with M. subulatus ?,Mallotus-type oppositifolius
EUPHORBIACEAE,Mallotus-type oppositifolius,ST,A,Mallotus-type oppositifolius,"evergreen shrub or small tree up to 10 m tall, more commonly not exceeding 5 m",,"some Macaranga (ST), Mareya brevipes (S), Mareya micrantha (ST)",,Mallotus-type oppositifolius
EUPHORBIACEAE,Mareya spicata,ST,A,Mareya-type micrantha,shrub or tree up to 12 m,,M. brevipes (S),syn. M. micrantha,Mareya-type micrantha
EUPHORBIACEAE,Mareya spicata-type,ST,A,Mareya-type micrantha,shrub or tree up to 12 m,,M. brevipes (S),syn. M. micrantha,Mareya-type micrantha
EUPHORBIACEAE,Mareya-type micrantha,ST,A,Mareya-type micrantha,shrub or tree up to 12 m,,M. brevipes (S),syn. M. micrantha,Mareya-type micrantha
EUPHORBIACEAE,Margaritaria (cf),ST,A,Margaritaria discoidea,deciduous much-branched shrub 1-5 m tall or tree up to 25 m tall,,,,Margaritaria discoidea
EUPHORBIACEAE,Margaritaria discoidea,ST,A,Margaritaria discoidea,deciduous much-branched shrub 1-5 m tall or tree up to 25 m tall,,,,Margaritaria discoidea
EUPHORBIACEAE,Margaritaria-type,ST,A,Margaritaria discoidea,deciduous much-branched shrub 1-5 m tall or tree up to 25 m tall,,,,Margaritaria discoidea
EUPHORBIACEAE,Margaritaria-type discoidea,ST,A,Margaritaria discoidea,deciduous much-branched shrub 1-5 m tall or tree up to 25 m tall,,,,Margaritaria discoidea
EUPHORBIACEAE,Phyllanthus discoideus,ST,A,Margaritaria discoidea,deciduous much-branched shrub 1-5 m tall or tree up to 25 m tall,,,syn. Margaritaria discoidea,Margaritaria discoidea
EUPHORBIACEAE,Martretia quadricornis,T,A,Martretia quadricornis,small tree,,,,Martretia quadricornis
EUPHORBIACEAE,Micrococca scariosa,ST,A,Micrococca-type scariosa,shrub or small tree up to 7.5 m tall,,,,Micrococca-type scariosa
EUPHORBIACEAE,Neoboutonia type,ST,A,Neoboutonia-type,trees or shrubs,,"Cavacoa (T), Croton (ST(HL)), Jatropha (HST), Crotonogyne (ST), Ricinodendron heudelotii (T), Manniophyton fulvum (SL)",mis-spelling,Neoboutonia-type
EUPHORBIACEAE,Neoboutonia-type,ST,A,Neoboutonia-type,trees or shrubs,,"Cavacoa (T), Croton (ST(HL)), Jatropha (HST), Crotonogyne (ST), Ricinodendron heudelotii (T), Manniophyton fulvum (SL)",,Neoboutonia-type
EUPHORBIACEAE,Neoboutonia macrocalyx,T,A,Neoboutonia-type macrocalyx,"slender tree up to 25 m tall, more commonly 10-15 m",,N. melleri (T),,Neoboutonia-type macrocalyx
EUPHORBIACEAE,Neoboutonia-type macrocalyx,T,A,Neoboutonia-type macrocalyx,"slender tree up to 25 m tall, more commonly 10-15 m",,N. melleri (T),,Neoboutonia-type macrocalyx
EUPHORBIACEAE,NEOBOUTONIA* MELLERI,,A,Neoboutonia-type melleri,Spreading tree 6-8(-15) m.,,,,Neoboutonia-type melleri
EUPHORBIACEAE,Oldfieldia-type,ST,A,Oldfieldia-type,trees or shrubs,,Aristogeitonia monophylla (ST),,Oldfieldia-type
EUPHORBIACEAE,Pentabrachyon,ST,A,Pentabrachion-type reticulatum,small tree 8 m high or shrub,,"Pseudolachnostylis maprouneifolia (T), Amanoa (T), Plagiostyles africana (A)",mis-spelling,Pentabrachion-type reticulatum
EUPHORBIACEAE,Pentabrachyon type,ST,A,Pentabrachion-type reticulatum,small tree 8 m high or shrub,,"Pseudolachnostylis maprouneifolia (T), Amanoa (T), Plagiostyles africana (A)",mis-spelling,Pentabrachion-type reticulatum
EUPHORBIACEAE,Phyllanthus-type acidus,ST,A,Phyllanthus-type acidus,shrub or small tree attaining 10 m high,,,introduced,Phyllanthus-type acidus
EUPHORBIACEAE,Phyllanthus engleri-type,ST,A,Phyllanthus-type engleri,thorny shrub or small tree 1-4.5 m tall,,,,Phyllanthus-type engleri
EUPHORBIACEAE,Phyllanthus cf. reticulatus,ST,A,Phyllanthus-type reticulatus,shrub or small tree 0.5-4.5 m tall,,,,Phyllanthus-type reticulatus
EUPHORBIACEAE,Phyllanthus reticularis,ST,A,Phyllanthus-type reticulatus,shrub or small tree 0.5-4.5 m tall,,,mis-spelling,Phyllanthus-type reticulatus
EUPHORBIACEAE,Phyllanthus reticularus,ST,A,Phyllanthus-type reticulatus,shrub or small tree 0.5-4.5 m tall,,,mis-spelling,Phyllanthus-type reticulatus
EUPHORBIACEAE,Phyllanthus reticularus-type,ST,A,Phyllanthus-type reticulatus,shrub or small tree 0.5-4.5 m tall,,,mis-spelling,Phyllanthus-type reticulatus
EUPHORBIACEAE,Phyllanthus reticulatus,ST,A,Phyllanthus-type reticulatus,shrub or small tree 0.5-4.5 m tall,,,,Phyllanthus-type reticulatus
EUPHORBIACEAE,Phyllanthus reticulatus-type,ST,A,Phyllanthus-type reticulatus,shrub or small tree 0.5-4.5 m tall,,,,Phyllanthus-type reticulatus
EUPHORBIACEAE,Phyllanthus-type reticularus,ST,A,Phyllanthus-type reticulatus,shrub or small tree 0.5-4.5 m tall,,,mis-spelling,Phyllanthus-type reticulatus
EUPHORBIACEAE,Phyllanthus-type reticulatus,ST,A,Phyllanthus-type reticulatus,shrub or small tree 0.5-4.5 m tall,,,,Phyllanthus-type reticulatus
EUPHORBIACEAE,Plagiostyles africana,T,A,Plagiostyles-type africana,tree 9-15 m high,,"Amanoa (T), Pentabrachion reticulatum (ST), Pseudolacchnostylis maprouneifolia (T)",,Plagiostyles-type africana
EUPHORBIACEAE,Plagiostyles-type,T,A,Plagiostyles-type africana,tree 9-15 m high,,"Amanoa (T), Pentabrachion reticulatum (ST), Pseudolacchnostylis maprouneifolia (T)",,Plagiostyles-type africana
EUPHORBIACEAE,Pseudolachnostylis-type,T,A,Pseudolachnostylis-type maprouneifolia,"a much-branched small to medium deciduoud tree up to 18 m tall, more commonly 3-10 m",,"Pentabrachion reticulatum (ST), Amanoa (T), Plagiostyles africana (T)",,Pseudolachnostylis-type maprouneifolia
EUPHORBIACEAE,Sapium ellipticum,ST,A,Shirakia-type elliptica,evergreen shrub or tree up to 30 m,,"Excoecaria bussei (ST), Excoecaria grahamii (ST), Drypetes natalensis (ST), Spirostachys africana (ST), Spirostachys venenifera (ST)",syn. Shirakia elliptica,Shirakiopsis-type elliptica
EUPHORBIACEAE,Sapium-type ellipticum,ST,A,Shirakia-type elliptica,evergreen shrub or tree up to 30 m,,"Excoecaria bussei (ST), Excoecaria grahamii (ST), Drypetes natalensis (ST), Spirostachys africana (ST), Spirostachys venenifera (ST)",,Shirakiopsis-type elliptica
EUPHORBIACEAE,Shirakia type ellptica,ST,A,Shirakia-type elliptica,evergreen shrub or tree up to 30 m,,"Excoecaria bussei (ST), Excoecaria grahamii (ST), Drypetes natalensis (ST), Spirostachys africana (ST), Spirostachys venenifera (ST)",mis-spelling,Shirakiopsis-type elliptica
EUPHORBIACEAE,Shirakia-type elliptica,ST,A,Shirakia-type elliptica,evergreen shrub or tree up to 30 m,,"Excoecaria bussei (ST), Excoecaria grahamii (ST), Drypetes natalensis (ST), Spirostachys africana (ST), Spirostachys venenifera (ST)",,Shirakiopsis-type elliptica
EUPHORBIACEAE,Spondianthus-type preussii,T,A,Spondianthus-type preussii,tree (4.5-) 9-18 m tall,,some Phyllanthus (HST(L)),,Spondianthus-type preussii
EUPHORBIACEAE,Spondiantus (type preussii),T,A,Spondianthus-type preussii,tree (4.5-) 9-18 m tall,,some Phyllanthus (HST(L)),mis-spelling,Spondianthus-type preussii
EUPHORBIACEAE,T. Spondianthus preussii,T,A,Spondianthus-type preussii,tree (4.5-) 9-18 m tall,,some Phyllanthus (HST(L)),,Spondianthus-type preussii
EUPHORBIACEAE,type Spondianthus preussii,T,A,Spondianthus-type preussii,tree (4.5-) 9-18 m tall,,some Phyllanthus (HST(L)),,Spondianthus-type preussii
EUPHORBIACEAE,type Spondiantus preussii,T,A,Spondianthus-type preussii,tree (4.5-) 9-18 m tall,,some Phyllanthus (HST(L)),mis-spelling,Spondianthus-type preussii
EUPHORBIACEAE,Tetrorchidium sp.,ST,A,Tetrorchidium,trees or shrubs,,,,Tetrorchidium
EUPHORBIACEAE,Tetrorchydium,ST,A,Tetrorchidium,trees or shrubs,,,mis-spelling,Tetrorchidium
EUPHORBIACEAE,Tetrorchidium congolense,S,A,Tetrorchidium congolense-type,shrub 0.60-5 m high,,,,Tetrorchidium congolense-type
EUPHORBIACEAE,Tetrorchidium didymostemon,STL,A,Tetrorchidium didymostemon-type,"evergreen shrub or small tree 4-12 m tall, or large tree up to 25 m",,,,Tetrorchidium didymostemon-type
EUPHORBIACEAE,Tetrorchidium didymostemon-type,STL,A,Tetrorchidium didymostemon-type,"evergreen shrub or small tree 4-12 m tall, or large tree up to 25 m",,,,Tetrorchidium didymostemon-type
EUPHORBIACEAE,Teccacoris type,ST,A,Thecacoris-type,trees and shrubs,,Antidesma venosum (ST),mis-spelling; Madagascar: 2 sp.,Thecacoris-type
EUPHORBIACEAE,Thecacoris,ST,A,Thecacoris-type,trees and shrubs,,Antidesma venosum (ST),,Thecacoris-type
EUPHORBIACEAE,Thecacoris-type,ST,A,Thecacoris-type,trees and shrubs,,Antidesma venosum (ST),,Thecacoris-type
EUPHORBIACEAE,Theccacoris,ST,A,Thecacoris-type,trees and shrubs,,Antidesma venosum (ST),mis-spelling,Thecacoris-type
EUPHORBIACEAE,Theccacoris g,ST,A,Thecacoris-type,trees and shrubs,,Antidesma venosum (ST),mis-spelling,Thecacoris-type
EUPHORBIACEAE,type Thecacoris,ST,A,Thecacoris-type,trees and shrubs,,Antidesma venosum (ST),,Thecacoris-type
EUPHORBIACEAE,Thecacoris gymnogynae,ST,A,Thecacoris-type leptobotrya, shrub or small tree 9 m tall,,,mis-spellin; syn. T. leptobotrya,Thecacoris-type leptobotrya
EUPHORBIACEAE,Thecacoris stenopetala,S,A,Thecacoris-type stenopetala,shrub 1.5-4 m high,,,,Thecacoris-type stenopetala
EUPHORBIACEAE,Uapaca,ST,A,Uapaca,trees or shrubs,,,,Uapaca
EUPHORBIACEAE,Uapaca sp.,ST,A,Uapaca,trees or shrubs,,,,Uapaca
EUPHORBIACEAE,Uapaca type,ST,A,Uapaca,trees or shrubs,,,,Uapaca
EUPHORBIACEAE,Uapaca bojeri-type,T,A,Uapaca bojeri-type,tree,,,,Uapaca bojeri-type
EUPHORBIACEAE,Uapaca guineensis,T,A,Uapaca guineensis-type,evergreen tree up to 18 m high,,"U. togoensis (T), U. nitida (ST)",,Uapaca guineensis-type
EUPHORBIACEAE,Uapaca guineensis-type,T,A,Uapaca guineensis-type,evergreen tree up to 18 m high,,"U. togoensis (T), U. nitida (ST)",,Uapaca guineensis-type
EUPHORBIACEAE,Uapaca heudelotii,T,A,Uapaca heudelotii-type,tree up to 28 m high,,"U. pilosa (ST), U. benguelensis (T)",,Uapaca heudelotii-type
EUPHORBIACEAE,Uapaca heudelotii-type,T,A,Uapaca heudelotii-type,tree up to 28 m high,,"U. pilosa (ST), U. benguelensis (T)",,Uapaca heudelotii-type
EUPHORBIACEAE,Uapaca huedelotii,T,A,Uapaca heudelotii-type,tree up to 28 m high,,"U. pilosa (ST), U. benguelensis (T)",mis-spelling,Uapaca heudelotii-type
EUPHORBIACEAE,Uapace heudolotii,T,A,Uapaca heudelotii-type,tree up to 28 m high,,"U. pilosa (ST), U. benguelensis (T)",mis-spelling,Uapaca heudelotii-type
EUPHORBIACEAE,Uapaca kirkiana,T,A,Uapaca kirkiana-type,"evergreen tree, 3-12 m tall",,U. robynsii (ST),,Uapaca kirkiana-type
